variable,Gain,Cover,Frequency,rank_gain,gain_norm,gain_cumul
prop_sub_alim,5.671300651242376e-4,0.008245844226508904,0.0011318242343541945,94,5.671300651242375e-4,0.9976464847596009
doble_ingreso,4.778198347775339e-4,0.0014572339569955482,0.0017976031957390147,95,4.778198347775338e-4,0.9981243045943785
educ_superior_jefe,3.105215605612603e-4,6.020685421892642e-4,9.320905459387483e-4,96,3.1052156056126024e-4,0.9984348261549397
dep_educacion,2.939346754287075e-4,1.522240638532192e-4,0.0012316910785619174,97,2.9393467542870747e-4,0.9987287608303684
privado_severo,2.2229272728056522e-4,0.0016991170813089832,8.988015978695073e-4,98,2.2229272728056516e-4,0.998951053557649
dep_proteccion,2.194999701865142e-4,6.97533076543516e-5,1.6644474034620507e-4,99,2.1949997018651414e-4,0.9991705535278356
educ_media_o_mas,2.1846804221086142e-4,2.1012243469392547e-4,0.0012316910785619174,100,2.1846804221086136e-4,0.9993890215700464
bogota,1.893683885132177e-4,8.17607657249594e-4,8.988015978695073e-4,101,1.8936838851321764e-4,0.9995783899585596
alguno_cesantias,1.533355776161723e-4,9.295161176118688e-4,5.326231691078562e-4,102,1.5333557761617228e-4,0.9997317255361758
proteccion_social,1.0869441144258021e-4,0.0018437118814179853,3.3288948069241014e-4,103,1.0869441144258019e-4,0.9998404199476184
dep_dependencia,1.0567583414042196e-4,5.699880080741696e-4,6.324900133155792e-4,104,1.0567583414042193e-4,0.9999460957817589
sin_ocupados,2.699895668431869e-5,3.2555344515986834e-5,1.6644474034620507e-4,105,2.6998956684318684e-5,0.9999730947384432
alguno_intereses,1.6987675312584768e-5,1.526737464988627e-4,1.3315579227696404e-4,106,1.6987675312584765e-5,0.9999900824137558
dep_vivienda,9.917586244085178e-6,5.6070738473369115e-5,6.657789613848202e-5,107,9.917586244085176e-6,0.9999999999999999
